sample_ID	barcode_sequence	CowNo	day	concLevel	SARALPSgroup	Quarter	SCCsample	Inf_Group	SampleOrControl
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorial 	categorial 
c10-1		10	-2	DM40	CON_LPS	left	1	not_inf	Sample
c10-32		10	30	DM40	CON_LPS	right	n.a.	not_inf	Sample
c10-32i		10	30	DM40	CON_LPS	left	1	not_inf	Sample
c10-34i		10	32	DM40	CON_LPS	left	sauer	infLPS	Sample
c1-1		1	-2	DM40	SARA_PLA	left	1	not_inf	Sample
c11-1		11	-2	DM40	SARA_LPS	left	1	not_inf	Sample
c11-32		11	30	DM60	SARA_LPS	right	n.a.	not_inf	Sample
c11-32i		11	30	DM60	SARA_LPS	left	1	not_inf	Sample
c11-34i		11	32	DM60	SARA_LPS	left	5	infLPS	Sample
c12-1		12	-2	DM40	SARA_PLA	left	1	not_inf	Sample
c12-32		12	30	DM60	SARA_PLA	right	n.a.	not_inf	Sample
c12-32i		12	30	DM60	SARA_PLA	left	1	not_inf	Sample
c12-34i		12	32	DM60	SARA_PLA	left	1	infPLA	Sample
c13-1		13	-2	DM40	CON_LPS	left	1	not_inf	Sample
c1-32		1	30	DM60	SARA_PLA	right	n.a.	not_inf	Sample
c1-32i		1	30	DM60	SARA_PLA	left	1	not_inf	Sample
c13-32		13	30	DM40	CON_LPS	right	n.a.	not_inf	Sample
c13-32i		13	30	DM40	CON_LPS	left	1	not_inf	Sample
c13-34i		13	32	DM40	CON_LPS	left	5	infLPS	Sample
c1-34i		1	32	DM60	SARA_PLA	left	1	infPLA	Sample
c14-1		14	-2	DM40	SARA_LPS	left	5	not_inf	Sample
c14-32		14	30	DM60	SARA_LPS	right	n.a.	not_inf	Sample
c14-32i		14	30	DM60	SARA_LPS	left	1	not_inf	Sample
c14-34i		14	32	DM60	SARA_LPS	left	5	infLPS	Sample
c15-1		15	-2	DM40	SARA_PLA	left	1	not_inf	Sample
c15-32		15	30	DM60	SARA_PLA	right	n.a.	not_inf	Sample
c15-32i		15	30	DM60	SARA_PLA	left	1	not_inf	Sample
c15-34i		15	32	DM60	SARA_PLA	left	5	infPLA	Sample
c16-1		16	-2	DM40	CON_LPS	left	1	not_inf	Sample
c16-32		16	30	DM40	CON_LPS	right	n.a.	not_inf	Sample
c16-32i		16	30	DM40	CON_LPS	left	1	not_inf	Sample
c16-34i		16	32	DM40	CON_LPS	left	5	infLPS	Sample
c17-1		17	-2	DM40	SARA_PLA	left	1	not_inf	Sample
